Date,Month,Campaign,Category,Region,Channel,Customer_Segment,Day_Type,Traffic,Conversion_Rate,Orders,AOV,Revenue,Cost,Marketing_Spend,Discount_%,Profit,Margin_%,Marketing_ROI,Profit_Per_Order
2025-10-03,Oct,Normal,Electronics,Malaysia,Social Ads,Returning,Weekday,5313,0.0252,134,325.64,43635.76,35994.83,1701.89,0.075,5939.04,0.1361,25.64,44.32
2025-10-03,Oct,Normal,Fashion,Singapore,Affiliate,New,Weekday,4619,0.0329,152,80.07,12170.64,7256.4,1417.38,0.1064,3496.86,0.2873,8.59,23.01
2025-10-03,Oct,Normal,Beauty,Malaysia,Social Ads,Returning,Weekday,2870,0.0417,120,65.36,7843.2,3592.59,1661.98,0.085,2588.63,0.33,4.72,21.57
2025-10-03,Oct,Normal,Home,Singapore,Organic,Returning,Weekday,3216,0.0285,92,155.78,14331.76,9003.67,374.74,0.0829,4953.35,0.3456,38.24,53.84
2025-10-03,Oct,Normal,Sports,Thailand,Organic,Returning,Weekday,2696,0.0269,73,121.47,8867.31,4955.84,300.0,0.0767,3611.47,0.4073,29.56,49.47
2025-10-07,Oct,Normal,Electronics,Singapore,Paid Search,Returning,Weekday,4872,0.0264,129,293.98,37923.42,31555.36,2100.74,0.0374,4267.32,0.1125,18.05,33.08
2025-10-07,Oct,Normal,Fashion,Singapore,Organic,Returning,Weekday,4325,0.0346,150,80.01,12001.5,7353.35,570.79,0.1231,4077.36,0.3397,21.03,27.18
2025-10-07,Oct,Normal,Beauty,Malaysia,Paid Search,New,Weekday,3310,0.0435,144,65.33,9407.52,4239.77,2628.54,0.0959,2539.21,0.2699,3.58,17.63
2025-10-07,Oct,Normal,Home,Thailand,Social Ads,New,Weekday,3398,0.0282,96,143.67,13792.32,9146.1,1389.09,0.0618,3257.13,0.2362,9.93,33.93
2025-10-07,Oct,Normal,Sports,Singapore,Organic,New,Weekday,2847,0.0287,82,110.01,9020.82,5232.36,336.86,0.0802,3451.6,0.3826,26.78,42.09
2025-10-12,Oct,Normal,Electronics,Thailand,Social Ads,New,Weekend,5772,0.0221,127,319.86,40622.22,34199.81,1705.04,0.0596,4717.37,0.1161,23.82,37.14
2025-10-12,Oct,Normal,Fashion,Singapore,Social Ads,Returning,Weekend,4740,0.0314,149,85.09,12678.41,8025.51,2521.23,0.1081,2131.67,0.1681,5.03,14.31
